"HolderAddress","Balance","PendingBalanceUpdate"
"0x1b83b5ff05a2ad2c9d237f707e814865f2a724d7","10","No"
"0x2272a7cbf45a93ec97cd52761f6e18e68a976203","10","No"
"0x3b5d0100610f1efb28d8bdcacd6b3dfc2af48522","10","No"
"0x4ca065d54495bc63b03d745b9a80ada117cfd4db","10","No"
"0x68040d6400543199e47d9d3bd06a943bd54f7e43","10","No"
"0xe3f80d0279c7a5bfd6902f38d012b853f0ccebed","10","No"
"0xff4c965f43b7fb68ccc7c79bb9e1ac9c67115e4e","10","No"
"0x2bc6eecc536a0a77970f828a9951e2d57306c1d0","10","No"
"0x65d4ea3325d480d259ffb3c0326a81e82cf803d6","10","No"
"0x83dbc7c56e6c43510306e6dd02ceb4fa6f597a74","10","No"
"0x931d06cc885027eea22a340adc58cffac652b198","10","No"
"0x02d3e573fd681f2c09670c20033a69d08364ce0b","10","No"
"0xf0923a9172a220f647a0100f4e9f4fe62cbc1464","10","No"
"0x024ff259f90e8c495ded57cb3198ebd0786b7f27","10","No"
"0xfac0475b677b54f72682e0ea633ffa1088110dcf","10","No"
"0xf21cda2761d3cdc7dbf4363e7cbb31bcf4433e16","10","No"
"0xd41e542b0655fce4c8b7998e247b733006251ee9","10","No"
"0x408650dc64e53dbda53d9fbf40491c66a074d058","10","No"
"0x8c22909f40428bfa68ce3679aaf07ed9f3b958de","10","No"
"0x0ad4d0f2c2afb6ca6c052a6bea5c2e4634b12f1f","10","No"
"0x32adeda8944db64b2069d93c375695b9e7849538","10","No"
"0xc9ac1dc5c4195353f208b602eb6b4942585f4d6c","10","No"
"0xbe9e7b0ed19526544b55b697107231f9467a805f","10","No"
"0x0e8d9cb9e11278ad6e2ba1ca90385c7295dc6532","10","No"
"0x33cdc341286f589de58e7033a43730d98a9ffa32","10","No"
"0xaf35c979a81f19793f1ba416c3eeb2855e6cb4b7","10","No"
"0xccabf0771484e4c75bdbb9a6f248374a21cb8c97","10","No"
"0xbd7e3a853cabb3b4caced53239dc0674ccba0c6c","10","No"
"0xf969d4bb97148e1180ab43c5061ebcf67ee83ce9","10","No"
"0x242dafb5c5621e2fdcc2749b0eba0db90d0bb3ef","10","No"
"0x74466273d4d3d3e7e98d1ce82848ed6dab5aeb57","10","No"
"0x900de7d5b65e5ece9a866a0ef5de78b98975da1a","10","No"
"0x1ef0898387f2d074c00f8b90071546fea6102491","10","No"
"0xa64a2efec5e38a3626d6a4a227cb2e85d6a36396","9.967242949847557627","No"
"0xb0f974e74bc40d7bc125a3fff37ad5f370c61232","9.418424655289466652","No"
"0x347c3f08156a121bb22e8377e68d0e5e88003532","9","No"
